cohort	gene	diplotype	phenotype	n_carriers
1000G_IBS	DPYD	c.85T>C (*9A)/c.775A>G	Normal Metabolizer	1
1000G_IBS	DPYD	c.85T>C (*9A)/c.85T>C (*9A)	Normal Metabolizer	2
1000G_IBS	IFNL3	Reference/Reference	Favorable Response	91
1000G_IBS	IFNL3	rs12979860/rs12979860	Unfavorable Response	2
1000G_IBS	NAT2	*12/*12	Indeterminate	1
1000G_IBS	NAT2	*4/*11	Indeterminate	1
1000G_IBS	NAT2	*4/*4	Indeterminate	2
1000G_IBS	NAT2	*4/*5	Indeterminate	17
1000G_IBS	NAT2	*4/*6	Indeterminate	10
1000G_IBS	NAT2	*4/*7	Indeterminate	1
1000G_IBS	NAT2	*5/*11	Indeterminate	1
1000G_IBS	NAT2	*5/*12	Indeterminate	1
1000G_IBS	NAT2	*5/*13	Indeterminate	4
1000G_IBS	NAT2	*5/*5	Indeterminate	22
1000G_IBS	NAT2	*5/*6	Indeterminate	15
1000G_IBS	NAT2	*5/*7	Indeterminate	3
1000G_IBS	NAT2	*6/*11	Indeterminate	3
1000G_IBS	NAT2	*6/*13	Indeterminate	1
1000G_IBS	NAT2	*6/*6	Indeterminate	10
1000G_IBS	NAT2	*6/*7	Indeterminate	1
1000G_IBS	NUDT15	*1/*1	Normal Metabolizer	93
1000G_IBS	RYR1	Reference/Reference	Uncertain Susceptibility	93
1000G_IBS	SLCO1B1	*1/*1	Normal Function	31
1000G_IBS	SLCO1B1	*1/*14	Normal Function	13
1000G_IBS	SLCO1B1	*1/*15	Decreased Function	9
1000G_IBS	SLCO1B1	*1/*20	Normal Function	5
1000G_IBS	SLCO1B1	*1/*37	Normal Function	12
1000G_IBS	SLCO1B1	*1/*4	Indeterminate	3
1000G_IBS	SLCO1B1	*1/*5	Decreased Function	6
1000G_IBS	SLCO1B1	*14/*14	Increased Function	2
1000G_IBS	SLCO1B1	*14/*15	Decreased Function	3
1000G_IBS	SLCO1B1	*14/*37	Normal Function	2
1000G_IBS	SLCO1B1	*15/*15	Poor Function	1
1000G_IBS	SLCO1B1	*15/*20	Decreased Function	2
1000G_IBS	SLCO1B1	*15/*37	Decreased Function	1
1000G_IBS	SLCO1B1	*20/*37	Normal Function	2
1000G_IBS	SLCO1B1	*37/*37	Normal Function	1
1000G_IBS	TPMT	*1/*1	Normal Metabolizer	83
1000G_IBS	TPMT	*1/*2	Intermediate Metabolizer	2
1000G_IBS	TPMT	*1/*3A	Intermediate Metabolizer	7
1000G_IBS	TPMT	*1/*3B	Intermediate Metabolizer	1
1000G_IBS	UGT1A1	*1/*1	Normal Metabolizer	64
1000G_IBS	UGT1A1	*1/*28	Intermediate Metabolizer	21
1000G_IBS	UGT1A1	*1/*36	Normal Metabolizer	3
1000G_IBS	UGT1A1	*28/*28	Poor Metabolizer	4
1000G_IBS	UGT1A1	*80/*80+*28	Indeterminate	1
1000G_IBS	VKORC1	Reference/Reference	Indeterminate	89
1000G_IBS	VKORC1	rs9923231/rs9923231	Indeterminate	4
CorpasFamily	CACNA1S	Reference/Reference	Uncertain Susceptibility	4
CorpasFamily	CFTR	Reference/Reference	Indeterminate	4
CorpasFamily	CYP2B6	*2/*5	Normal Metabolizer	1
CorpasFamily	CYP2B6	*2/*9	Intermediate Metabolizer	1
CorpasFamily	CYP2B6	*5/*6	Intermediate Metabolizer	1
CorpasFamily	CYP2B6	*6/*6	Poor Metabolizer	1
CorpasFamily	CYP2C19	*1/*1	Normal Metabolizer	3
CorpasFamily	CYP2C19	*1/*4	Intermediate Metabolizer	1
CorpasFamily	CYP2C9	*1/*2	Intermediate Metabolizer	3
CorpasFamily	CYP2C9	*2/*2	Intermediate Metabolizer	1
CorpasFamily	CYP2D6	*1/*2	Normal Metabolizer	1
CorpasFamily	CYP2D6	*1/*41	Normal Metabolizer	1
CorpasFamily	CYP2D6	*1/*68+*4	Intermediate Metabolizer	1
CorpasFamily	CYP2D6	Indeterminate	Indeterminate	1
CorpasFamily	CYP3A5	*1/*3	Intermediate Metabolizer	1
CorpasFamily	CYP3A5	*3/*3	Poor Metabolizer	3
CorpasFamily	CYP4F2	*1/*1	Indeterminate	1
CorpasFamily	CYP4F2	*1/*3	Indeterminate	2
CorpasFamily	CYP4F2	*3/*4	Indeterminate	1
CorpasFamily	DPYD	Reference/Reference	Normal Metabolizer	1
CorpasFamily	DPYD	Reference/c.85T>C (*9A)	Normal Metabolizer	3
CorpasFamily	IFNL3	Reference/Reference	Favorable Response	2
CorpasFamily	IFNL3	Reference/rs12979860	Unfavorable Response	1
CorpasFamily	IFNL3	rs12979860/rs12980275	Unfavorable Response	1
CorpasFamily	NAT2	*4/*5	Indeterminate	1
CorpasFamily	NAT2	*4/*6	Indeterminate	1
CorpasFamily	NAT2	*5/*6	Indeterminate	2
CorpasFamily	NUDT15	*1/*1	Normal Metabolizer	4
CorpasFamily	RYR1	Reference/Reference	Uncertain Susceptibility	4
CorpasFamily	SLCO1B1	*1/*1	Normal Function	2
CorpasFamily	SLCO1B1	*1/*37	Normal Function	2
CorpasFamily	TPMT	*1/*1	Normal Metabolizer	2
CorpasFamily	TPMT	*1/*9	Indeterminate	2
CorpasFamily	UGT1A1	*1/*1	Normal Metabolizer	3
CorpasFamily	UGT1A1	*1/*80+*28	Intermediate Metabolizer	1
CorpasFamily	VKORC1	Reference/rs9923231	Indeterminate	1
CorpasFamily	VKORC1	rs9923231/rs9923231	Indeterminate	3
